"Outcome","Date","diff_total_goals","diff_total_xg","diff_total_xa","diff_total_shots","diff_total_key_passes","diff_total_xgchain","diff_avg_xg_per90","diff_avg_xa_per90","diff_avg_xgbuildup_per90","diff_total_yellows","diff_total_reds","diff_avg_height","diff_total_market_value","diff_total_intl_caps","diff_elo"
"Home_Lose",2021-02-15,25.2083333333333,22.3539033970253,27.0301609320643,315.791666666667,157.666666666667,65.1594904036029,0.000956004886869893,0.0689163072050293,-0.0215762076829975,8.70833333333333,-1.375,-10,-1.43e+08,148.5,0
"Home_Win",2021-02-15,-25.2083333333333,-22.3539033970253,-27.0301609320643,-315.791666666667,-157.666666666667,-65.1594904036029,-0.000956004886869893,-0.0689163072050293,0.0215762076829975,-8.70833333333333,1.375,10,1.43e+08,-148.5,0
"Home_Win",2021-03-24,48,40.326692824252,25.8891583778895,276,254,10.3051742753016,0.132050690081359,0.0904479602997964,-0.00695456529695054,30,-1,-9.27272727272725,-98650000,129,0
"Home_Lose",2021-03-24,-48,-40.326692824252,-25.8891583778895,-276,-254,-10.3051742753016,-0.132050690081359,-0.0904479602997964,0.00695456529695054,-30,1,9.27272727272725,98650000,-129,0
"Draw",2021-03-25,10,9.14195335377014,-12.2749082865193,-115.5,-53,-51.5773697402328,0.143745918543811,-0.00593253201849706,-0.133107714265239,-40,-1.5,2.81818181818181,-50600000,-240,0
"Draw",2021-03-25,1,-8.13618390075865,3.88773789023975,76,-29,-13.6878750678153,-0.0268092976484327,0.00702082053952797,-0.0783596025346347,1,-2,-0.636363636363626,29550000,164,0
"Home_Win",2021-03-25,-47,-29.1532481499017,-8.9914149008692,-91,-12,-29.8487820038573,-0.100401319084204,-0.0354955691786299,-0.0299616186038572,-13,2,-3.63636363636363,-3e+07,-573,0
"Draw",2021-03-25,-10,-9.14195335377014,12.2749082865193,115.5,53,51.5773697402328,-0.143745918543811,0.00593253201849706,0.133107714265239,40,1.5,-2.81818181818181,50600000,240,0
"Draw",2021-03-25,-1,8.13618390075865,-3.88773789023975,-76,29,13.6878750678153,0.0268092976484327,-0.00702082053952797,0.0783596025346347,-1,2,0.636363636363626,-29550000,-164,0
"Home_Lose",2021-03-25,47,29.1532481499017,8.9914149008692,91,12,29.8487820038573,0.100401319084204,0.0354955691786299,0.0299616186038572,13,-2,3.63636363636363,3e+07,573,0
"Home_Lose",2021-03-27,44,46.5041620754636,9.90927156154071,164,61,44.9021668583153,0.119059318086085,0.0111442789898134,-0.0755242788348465,-8,-1,2.45454545454544,506500000,36,0
"Draw",2021-03-27,-9,-2.15953437425198,-1.6786817666143,-11,8,-16.7853109445424,0.00438263706030259,0.00246599555926287,-0.0261496913762238,18,0,0,-83025000,85,0
"Home_Win",2021-03-27,-44,-46.5041620754636,-9.90927156154071,-164,-61,-44.9021668583153,-0.119059318086085,-0.0111442789898134,0.0755242788348465,8,1,-2.45454545454544,-506500000,-36,0
"Draw",2021-03-27,9,2.15953437425198,1.6786817666143,11,-8,16.7853109445424,-0.00438263706030259,-0.00246599555926287,0.0261496913762238,-18,0,0,83025000,-85,0
"Home_Lose",2021-03-29,15.125,20.6955127569769,11.6419153357468,146.208333333333,80.6666666666667,46.7691886814233,0.0450356732453434,0.0902608865912582,0.113341483711012,9.625,1.375,6.33333333333334,216883333.333333,423.5,0
"Home_Win",2021-03-29,-15.125,-20.6955127569769,-11.6419153357468,-146.208333333333,-80.6666666666667,-46.7691886814233,-0.0450356732453434,-0.0902608865912582,-0.113341483711012,-9.625,-1.375,-6.33333333333334,-216883333.333333,-423.5,0
"Home_Lose",2021-03-31,51,50.5729209543205,18.8033471060917,206,113,12.6138905487023,0.18325991270879,0.0756781896157492,-0.0331228962611307,16,2,-2.72727272727272,-171300000,197,-577
"Home_Win",2021-03-31,-51,-50.5729209543205,-18.8033471060917,-206,-113,-12.6138905487023,-0.18325991270879,-0.0756781896157492,0.0331228962611307,-16,-2,2.72727272727272,171300000,-197,577
"Home_Win",2021-05-30,-4,-8.25352805200964,-12.0884648952633,-11,-116,-8.84683854831356,-0.0234533216141235,-0.0345758410352234,0.00563267371459469,-18,-1,-1.36363636363637,-62400000,522,117
"Home_Lose",2021-05-30,4,8.25352805200964,12.0884648952633,11,116,8.84683854831356,0.0234533216141235,0.0345758410352234,-0.00563267371459469,18,1,1.36363636363637,62400000,-522,-117
"Home_Win",2021-06-02,19,9.7613874697127,3.25583066558464,-8,-37,-36.7769625969234,-0.00345742774243904,-0.0122276843978582,-0.15525925333651,3,-3,2.09090909090909,1.34e+08,-125,184
