game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,home_wc,away_wc
4235807,EURO,2023,Group A,2024-06-14,3262,3380,5,1,,,Julian Nagelsmann,Steve Clarke,Allianz Arena,65052.0,Clément Turpin,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235807,,,Germany,Scotland,5:1,national_team_competition,Germany,Scotland
4235809,EURO,2023,Group B,2024-06-15,3375,3556,3,0,,,Luis de la Fuente,Zlatko Dalic,Olympiastadion Berlin,68844.0,Michael Oliver,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235809,,,Spain,Croatia,3:0,national_team_competition,Spain,Croatia
4235814,EURO,2023,Group D,2024-06-17,3383,3377,0,1,,,Ralf Rangnick,Didier Deschamps,MERKUR SPIEL-ARENA,46425.0,Jesús Gil Manzano,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235814,,,Austria,France,0:1,national_team_competition,Austria,France
4235818,EURO,2023,Group F,2024-06-18,3300,3445,2,1,,,Roberto Martínez,Ivan Hasek,Red Bull Arena,38421.0,Marco Guida,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235818,,,Portugal,Czech Republic,2:1,national_team_competition,Portugal,Czechia
4235820,EURO,2023,Group A,2024-06-19,3380,3384,1,1,,,Steve Clarke,Murat Yakin,RheinEnergieSTADION,42711.0,Ivan Kruzliak,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235820,,,Scotland,Switzerland,1:1,national_team_competition,Scotland,Switzerland
4235826,EURO,2023,Group D,2024-06-21,3379,3377,0,0,,,Ronald Koeman,Didier Deschamps,Red Bull Arena,38531.0,Anthony Taylor,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235826,,,Netherlands,France,0:0,national_team_competition,Netherlands,France
4235829,EURO,2023,Group F,2024-06-22,3381,3300,0,3,,,Vincenzo Montella,Roberto Martínez,SIGNAL IDUNA PARK,61047.0,Felix Zwayer,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235829,,,Turkiye,Portugal,0:3,national_team_competition,Türkiye,Portugal
4235832,EURO,2023,Group A,2024-06-23,3384,3262,1,1,,,Murat Yakin,Julian Nagelsmann,Deutsche Bank Park,46685.0,Daniele Orsato,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235832,,,Switzerland,Germany,1:1,national_team_competition,Switzerland,Germany
4235837,EURO,2023,Group D,2024-06-25,3379,3383,2,3,,,Ronald Koeman,Ralf Rangnick,Olympiastadion Berlin,68363.0,Ivan Kruzliak,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235837,,,Netherlands,Austria,2:3,national_team_competition,Netherlands,Austria
4235842,EURO,2023,Group F,2024-06-26,3445,3381,1,2,,,Ivan Hasek,Vincenzo Montella,Volksparkstadion,47683.0,Istvan Kovacs,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4235842,,,Czech Republic,Turkiye,1:2,national_team_competition,Czechia,Türkiye
4238567,COPA,2025,Group C,2024-06-24,3449,3577,3,1,,,Marcelo Bielsa,Thomas Christiansen,Hard Rock Stadium,33425.0,Piero Maza,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4238567,,,Uruguay,Panama,3:1,national_team_competition,Uruguay,Panama
4238568,COPA,2025,Group D,2024-06-24,3816,3581,2,1,,,Néstor Lorenzo,Daniel Garnero,NRG Stadium,67059.0,Darío Herrera,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4238568,4-2-3-1,4-3-3 Attacking,Colombia,Paraguay,2:1,national_team_competition,Colombia,Paraguay
4238571,COPA,2025,Group C,2024-06-27,3577,3505,2,1,,,Thomas Christiansen,Gregg Berhalter,Mercedes-Benz Stadium,59145.0,Iván Barton,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4238571,,,Panama,United States,2:1,national_team_competition,Panama,United States
