group,place,team_name,team_model,team_code,strength_score,xg_per90_weighted,np_xg_per90,xa_per90_weighted,shots_per90_weighted,key_passes_per90_weighted,attack_depth_index,caps_mean,market_value_mean,feature_source
A,1,South Africa,South Africa,RSA,0.3868155646456164,0.2533102382261019,0.25331023822610194,0.0650201382545324,1.3076923076923077,0.6923076923076923,1,25,10000000,observed
A,2,Czechia,Czech Republic,CZE,0.11783567716625715,0.206574030264244,0.1955295117775548,0.10216442387444624,1.1149797570851032,0.7870445344129159,0.6666666666666914,38.91117408907034,9147831.983804978,observed
A,3,Korea Republic,"Korea, South",KOR,0.03806433855182578,0.14000615580581988,0.13192580721189875,0.11772537955940876,1.242038216560536,0.9341825902336444,0.8749999999999767,52.72788393489552,9721337.57961858,observed
A,4,Mexico,Mexico,MEX,-0.16848090134147575,0.20524206431338343,0.17698861538860214,0.03340890825180453,1.4228759967005176,0.5196590596645496,0.6666666666666466,51.84905141600269,8059609.568325468,observed
B,1,Canada,Canada,CAN,0.7742254971366486,0.3004221186444916,0.289549872504373,0.14386255300437986,1.3424309742938971,1.0282450015867426,0.4000000000000642,50.782926055220294,12801674.071722578,observed
B,2,Bosnia and Herzegovina,Bosnia-Herzegovina,BIH,0.25547441750108724,0.27860084037370547,0.24854358926180828,0.06396357076791048,1.520493609519617,0.5288673424416299,0.6250000000000558,24.278977523138852,11378066.696047096,observed
B,3,Qatar,Qatar,QAT,0.15660260482121086,0.3514171415759671,0.3514171415759669,4.291950218647571e-40,2.903225806451613,8.295228810372957e-39,6.958775279814601e-39,2,2000000,observed
B,4,Switzerland,Switzerland,SUI,-0.6793597863216634,0.07225535948378842,0.06922904034934742,0.07395201652581117,0.7419354838710006,0.6612903225806412,0.7692307692307446,44.23467741935671,11079115.14336907,observed
C,1,Brazil,Brazil,BRA,0.2836882327636654,0.18091507728875791,0.1697441737835408,0.12509069426394917,1.510271429749961,1.0261529576767283,0.7142857142856972,20.007326128206717,31450070.12622626,observed
C,2,Morocco,Morocco,MAR,0.16166815287602085,0.17455074620937813,0.16609236564543078,0.12317473952443912,1.572765115608051,0.9866875489428468,0.666666666666708,22.01524955693862,16328755.718584113,observed
